1590515184,10503
1590515582,10537
1590515971,10533
1590516359,10532
1590516768,10506
1590517107,10522
1590517505,10468
1590517843,10454
1590518232,10465
1590518611,10482
1590518977,10495
1590519343,10490
1590519813,10499
1590520212,10482
1590520589,10485
1590520945,10490
1590521272,10469
1590521691,10403
1590522100,10499
1590522457,10481
1590522834,10472
1590523191,10479
1590523591,10493
1590523979,10498
1590524357,10519
1590524723,10507
1590525101,10517
1590525489,10487
1590525867,10523
1590526253,10493
1590526610,10525
1590527028,10501
1590527385,10501
1590527762,10508
1590528118,10518
1590528454,10468
1590528842,10462
1590529171,10438
1590529506,10412
1590529843,10458
1590530179,10427
1590530649,10435
1590530985,10418
1590531333,10411
1590531659,10392
1590531995,10431
1590532382,10416
1590532730,10420
1590533096,10394
1590533453,10436
1590533780,10405
1590534218,10393
1590534545,10408
1590534902,10406
1590535259,10409
1590535575,10382
1590535922,10395
1590536279,10398
1590536607,10394
1590536934,10398
1590537271,10398
1590537567,10385
1590537935,10385
1590538251,10360
1590538578,10384
1590538883,10346
1590539188,10346
1590539524,10353
1590539824,10362
1590540134,10369
1590540463,10359
1590540789,10355
1590541074,10362
1590541432,10338
1590541779,10347
1590542086,10324
1590542391,10336
1590542697,10364
1590542992,10358
1590543339,10357
1590543655,10338
1590543992,10355
1590544320,10345
1590544666,10378
1590544992,10346
1590545309,10356
1590545666,10334
1590545981,10337
1590546317,10351
1590546612,10361
1590546959,10348
1590547306,10348
1590547632,10337
1590547948,10348
1590548294,10354
1590548614,10330
1590548970,10365
1590549318,10360
1590549623,10347
1590549940,10352
1590550276,10352
1590550616,10367
1590550954,10350
1590551279,10379
1590551574,10373
1590551890,10390
1590552228,10359
1590552565,10366
1590552861,10362
1590553175,10381
1590553488,10363
1590553792,10391
1590554096,10380
1590554411,10380
1590554787,10419
1590555112,10386
1590555446,10392
1590555802,10392
1590556138,10379
1590556483,10382
1590556818,10384
1590557161,10384
1590557578,10384
1590557903,10377
1590558288,10377
1590558623,10402
1590558967,10366
1590559383,10404
1590559761,10404
1590560096,10410
1590560430,10398
1590560775,10409
