94.134.175.132:8333,0.000861
[2001:470:71:104b::12]:8333,+Inf
[2a00:1028:9197:64b2:18e3:f6c1:2017:799b]:8333,0.147691
z7gpfa7p3fq5xqon.onion:8333,+Inf
134.209.36.1:8333,0.002776
45.76.165.182:8333,+Inf
77.132.158.184:8333,0.056891
aqadnqxnbgovnhv4.onion:8333,+Inf
ejgxwp6acjebxkea.onion:8333,+Inf
77.181.183.47:8333,0.004001
88.217.126.253:8333,0.003505
[2a02:120b:2c6d:d80:8cbd:4a2a:657c:d945]:8333,0.001323
[2a02:1811:bc02:5701:add4:f1ac:3286:4c01]:8333,4.070671
ukrjjhwodl44wmof.onion:8333,+Inf
115.96.253.89:8333,0.079006
185.3.95.81:8333,+Inf
46.85.134.56:8333,0.000541
15.165.24.244:8333,+Inf
64.180.81.171:8333,+Inf
94.23.248.168:8333,+Inf
[2a01:e0a:233:7340:1d71:108d:ed8c:b49a]:8333,0.935784
n63txbpv2xq4rs2q.onion:8333,+Inf
103.99.168.150:8333,+Inf
123.118.13.226:8333,0.284486
124.13.149.213:8333,0.001037
46.11.210.89:8333,+Inf
82.64.20.76:8333,+Inf
93.136.25.134:8333,0.007632
[2001:d08:d7:e1b0:6c99:a716:d256:54c0]:8333,0.023767
[2601:807:8000:9508:9993:d2b3:1a:8225]:8333,+Inf
144.76.117.233:8433,+Inf
147.253.70.208:8333,0.000696
45.5.117.59:8333,0.000119
[2804:14c:482:478::3]:8333,0.051745
dp6b223tcczvloqp.onion:8333,+Inf
g7sitavtm7hq2syi.onion:8333,+Inf
89.248.160.135:8333,0.000207
92.79.91.147:8333,+Inf
95.217.109.216:8333,+Inf
[2a02:2f09:b109:cc00:3c0b:b1bd:d76f:d1f3]:8333,1.748917
bopzg7b2hsn3evxd.onion:8333,0.000774
148.66.50.50:8335,+Inf
18.231.71.251:8333,0.007733
83.161.249.125:8333,+Inf
pa4dolm5nzhmo26e.onion:8333,+Inf
2.229.239.77:8333,+Inf
46.239.17.183:8333,0.004112
5.55.113.189:8333,0.023059
7iljxkcuykternrt.onion:8333,+Inf
88.99.82.23:8333,+Inf
177.205.206.69:8333,0.022110
190.205.34.228:8333,0.002830
193.85.175.164:8333,+Inf
on6ny26zjujz5fre.onion:8333,0.034072
95.216.243.70:8333,+Inf
[2403:6200:8870:66a3:8256:f2ff:fe82:e3d3]:8333,0.138557
[2a01:c23:9408:b900:76d4:35ff:fee6:7b5d]:8333,0.003344
207.180.217.42:8333,+Inf
75.166.159.193:8333,+Inf
94.199.173.120:8333,+Inf
[2001:41d0:8:b7d0::1]:8333,+Inf
ntil5qpibq3ljvzn.onion:8333,+Inf
186.58.220.90:8333,0.000252
189.208.19.163:65005,0.015415
193.115.123.142:8333,0.008084
zdphl22tbzcwuz7w.onion:8333,0.371349
86.4.87.80:8333,0.067671
[2a01:4f8:c2c:7517::1]:8333,+Inf
3esk7tmbjiusuilx.onion:8333,+Inf
77.6.223.158:8333,0.038589
86.238.58.1:8333,+Inf
37.117.12.209:8333,12.971025
76.103.138.22:8333,5.735148
79.208.246.161:8333,0.004335
165.255.66.252:8333,0.004871
213.239.219.230:9199,0.000206
2clzh6bod4ulvtdf.onion:8333,0.000133
185.201.8.17:8333,+Inf
45.32.201.171:8333,+Inf
68.235.60.131:8333,+Inf
[2a02:e00:fff0:23f::1]:8333,+Inf
[2a02:1206:4541:f270:d28:7ad:69ef:ef6e]:8333,0.009107
xvopzmni6k6kcgad.onion:8333,+Inf
3.250.175.1:8333,+Inf
80.241.209.102:8333,+Inf
82.65.33.15:8333,+Inf
52.252.7.219:8333,+Inf
[240d:1a:800:2000:187e:9a28:10dc:9977]:8333,13.138686
[2a01:e0a:233:7340:dcdf:8920:87dc:46]:8333,0.402381
18.139.139.231:8333,1.180473
185.70.8.42:8333,+Inf
46.4.225.212:8333,+Inf
35.181.4.33:8333,0.000134
7bb6zs3mxhkucism.onion:8333,+Inf
[2800:810:423:702::1002]:8333,4.925603
109.79.112.190:8333,0.013272
110.175.241.145:8333,3.519205
212.53.217.127:8333,1.513135
[2001:14ba:4f8:9b00:1c6f:a2a9:b099:6c07]:8333,+Inf
[2001:41d0:1:ff40::1]:8333,+Inf
[2601:400:2:8717:248d:941:e9eb:39cc]:8333,0.953885
[2a02:1205:5005:eca0:c92:a1c2:3d07:bfe0]:8333,+Inf
179.110.3.183:8333,0.141172
91.3.67.104:8333,0.806128
95.25.248.182:8333,0.000259
52.9.134.242:8333,+Inf
83.45.51.64:8333,0.017592
yzodg33pfmv63ntq.onion:8333,+Inf
108.183.77.12:8333,+Inf
194.223.91.238:8333,5.673386
218.83.104.152:8333,0.002422
83.135.98.177:8333,0.004021
83.83.155.43:8333,+Inf
[2001:16b8:2885:7702:107a:81f2:1b30:13ed]:8333,0.146103
84.139.237.20:8333,0.038858
[2001:41f0::62:6974:636f:696e]:8333,+Inf
[2a01:7a0:2:137c::3]:8333,+Inf
73.215.97.122:8333,+Inf
79.117.190.222:8333,0.000029
79.98.159.7:8333,+Inf
91.187.64.94:8333,+Inf
95.213.145.218:8333,+Inf
[2802:8001:6766:9e00:1014:6ba8:9730:196f]:8333,0.004405
uiyav67uiszwjbli.onion:8333,0.000294
31.180.145.253:8333,0.544784
78.48.143.133:8333,0.003970
82.84.88.10:8333,0.321965
91.41.131.157:8333,0.003472
95.116.18.44:8333,0.004114
es4fjjnk3h535aa2.onion:8333,+Inf
ph45fyzs2tlendtd.onion:8333,+Inf
qnj4m6cby43fbja7.onion:8333,+Inf
34.80.134.68:8333,+Inf
67.2.198.18:8333,+Inf
6yewk7gn3ifmvudz.onion:8333,+Inf
52.39.212.135:8333,+Inf
83.135.104.191:8333,0.003476
84.148.208.217:8333,0.003759
88.99.28.94:8333,+Inf
[2001:1ba8:140c:f501:391a:7e7a:731e:7deb]:8333,1.812917
141.168.48.92:8333,+Inf
188.164.172.134:8333,0.024016
189.59.82.123:8333,0.051116
